DATE,JPNRGDPEXP
1994-01-01,446278.7
1994-04-01,443823.1
1994-07-01,448928.1
1994-10-01,447123.7
1995-01-01,452098.5
1995-04-01,456350.5
1995-07-01,461697.9
1995-10-01,462802.0
1996-01-01,466603.1
1996-04-01,472555.9
1996-07-01,473152.0
1996-10-01,478408.6
1997-01-01,479669.5
1997-04-01,476078.1
1997-07-01,477003.3
1997-10-01,477154.6
1998-01-01,471382.3
1998-04-01,469303.6
1998-07-01,470143.4
1998-10-01,473903.7
1999-01-01,467404.9
1999-04-01,469175.3
1999-07-01,471675.0
1999-10-01,471841.1
2000-01-01,479861.1
2000-04-01,482127.1
2000-07-01,482244.3
2000-10-01,486944.6
2001-01-01,490544.2
2001-04-01,486881.0
2001-07-01,481569.5
2001-10-01,479917.7
2002-01-01,480733.5
2002-04-01,484626.3
2002-07-01,486152.3
2002-10-01,487502.7
2003-01-01,487809.9
2003-04-01,491151.3
2003-07-01,492603.9
2003-10-01,497984.5
2004-01-01,501629.3
2004-04-01,501691.9
2004-07-01,504770.7
2004-10-01,503829.9
2005-01-01,506408.8
2005-04-01,510317.7
2005-07-01,515510.9
2005-10-01,516439.0
2006-01-01,517234.9
2006-04-01,517998.2
2006-07-01,516999.7
2006-10-01,524003.9
2007-01-01,527456.0
2007-04-01,527587.7
2007-07-01,524764.8
2007-10-01,527093.9
2008-01-01,528972.0
2008-04-01,525786.8
2008-07-01,519294.8
2008-10-01,506546.1
2009-01-01,482191.3
2009-04-01,491519.3
2009-07-01,491333.7
2009-10-01,497494.4
2010-01-01,502720.9
2010-04-01,508661.6
2010-07-01,517918.1
2010-10-01,513729.8
2011-01-01,508325.7
2011-04-01,503863.8
2011-07-01,516137.5
2011-10-01,515431.7
2012-01-01,522591.7
2012-04-01,517794.3
2012-07-01,515849.9
2012-10-01,515472.7
2013-01-01,522633.2
2013-04-01,527335.4
2013-07-01,532386.4
2013-10-01,531720.0
2014-01-01,536091.3
2014-04-01,526414.1
2014-07-01,526834.1
2014-10-01,529277.8
2015-01-01,537524.1
2015-04-01,538250.5
2015-07-01,538756.8
2015-10-01,537869.8
2016-01-01,541887.5
2016-04-01,541023.4
2016-07-01,542082.5
2016-10-01,542917.7
2017-01-01,547370.3
2017-04-01,549197.7
2017-07-01,553856.3
2017-10-01,554525.8
2018-01-01,555120.8
2018-04-01,556699.3
2018-07-01,553898.5
2018-10-01,553197.5
2019-01-01,554494.3
2019-04-01,556143.7
2019-07-01,557327.4
2019-10-01,542186.0
2020-01-01,544551.5
2020-04-01,501250.3
2020-07-01,529193.4
2020-10-01,539388.4
2021-01-01,538623.0
2021-04-01,540376.3
2021-07-01,537937.1
2021-10-01,544415.7
2022-01-01,541965.3
2022-04-01,547945.5
2022-07-01,546815.0
