Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.330000,10.600000,10.310000,10.600000,5.108304,14257860
2010-01-05,10.590000,10.600000,10.425000,10.510000,5.064932,14077418
2010-01-06,10.340000,10.345000,10.210000,10.250000,4.939634,28100490
2010-01-07,10.200000,10.210000,9.980000,10.055000,4.845660,21799244
2010-01-08,10.075000,10.120000,9.991000,10.110000,4.872166,20945576
2010-01-11,10.175000,10.205000,10.105000,10.180000,4.905900,14631526
2010-01-12,10.195000,10.240000,10.070000,10.100000,4.867346,15533316
2010-01-13,10.115000,10.200000,10.085000,10.160000,4.896262,14887240
2010-01-14,10.195000,10.225000,10.130000,10.170000,4.901081,12068075
2010-01-15,10.145000,10.210000,9.980000,10.035000,4.836021,26927150
2010-01-18,10.000000,10.025000,9.845000,9.929000,4.784939,21220358
2010-01-19,9.906000,10.100000,9.900000,10.095000,4.864937,16950154
2010-01-20,10.105000,10.155000,9.948000,9.971000,4.805179,20947097
2010-01-21,10.050000,10.090000,9.876000,9.876000,4.759398,21074450
2010-01-22,9.860000,10.025000,9.790000,9.809000,4.727108,26347655
2010-01-25,9.760000,9.835000,9.714000,9.720000,4.684219,18909986
2010-01-26,9.670000,9.778000,9.625000,9.720000,4.684219,24278591
2010-01-27,9.630000,9.689000,9.600000,9.660000,4.655303,27212236
2010-01-28,9.660000,9.761000,9.407000,9.407000,4.533379,38428975
2010-01-29,9.407000,9.450000,9.342000,9.357000,4.509284,39286000
2010-02-01,9.360000,9.423000,9.360000,9.410000,4.534823,21017676
2010-02-02,9.430000,9.452000,9.376000,9.440000,4.549282,21413397
2010-02-03,9.456000,9.493000,9.308000,9.342000,4.502054,22630711
2010-02-04,9.389000,9.460000,9.222000,9.240000,4.452899,36150447
2010-02-05,9.305000,9.432000,9.211000,9.211000,4.438923,49009224
2010-02-08,9.280000,9.420000,9.273000,9.372000,4.516512,26641901
2010-02-09,9.420000,9.446000,9.306000,9.342000,4.502054,22841858
2010-02-10,9.417000,9.505000,9.382000,9.448000,4.553137,23742114
2010-02-11,9.480000,9.498000,9.300000,9.348000,4.504946,18210565
2010-02-12,9.390000,9.485000,9.375000,9.420000,4.539644,15474010
2010-02-15,9.466000,9.489000,9.420000,9.430000,4.544463,7760709
2010-02-16,9.477000,9.507000,9.410000,9.507000,4.581571,14038707
2010-02-17,9.550000,9.589000,9.490000,9.550000,4.602293,16886419
2010-02-18,9.557000,9.684000,9.537000,9.657000,4.653858,15930813
2010-02-19,9.630000,9.755000,9.560000,9.752000,4.699640,17900690
2010-02-22,9.830000,9.838000,9.665000,9.675000,4.662532,15376597
